date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,23.8,21.1,27.8,0,,,8.3,,1021.3,364
2015-01-02,24.8,22.2,28.3,0.3,,,14.4,,,405
2015-01-03,25.6,24.4,28.3,0,,117,18.7,,1022.8,421
2015-01-04,25.7,23.3,28.3,0,,,14,,1023.6,469
2015-01-05,25.2,22.2,28.9,0.5,,,9.7,,,450
2015-01-06,24.7,22.2,28.9,0.3,,,9.7,,1024.1,495
2015-01-07,23.7,18.3,27.2,0,,,9.4,,1020.9,508
2015-01-08,18.4,13.3,22.8,0,,,17.3,,1023.4,434
2015-01-09,21.4,17.8,26.1,0,,,7.2,,1022.5,360
2015-01-10,20.2,15,25.6,0,,,13.3,,,449
2015-01-11,23.7,21.1,26.7,0.8,,78,19.1,,1023.8,352
2015-01-12,24.8,23.9,26.7,2,,105,20.2,,1020.7,113
2015-01-13,23.6,21.1,26.1,19.6,,,7.9,,1018,350
2015-01-14,22.2,20,25,0,,,9,,,314
2015-01-15,21.1,17.2,26.1,0,,,9.4,,1017.9,350
2015-01-16,20.2,16.1,23.9,0,,,13,,1017.9,333
2015-01-17,18.8,13.3,25,0,,,13,,1020.1,443
2015-01-18,21.6,17.2,26.1,0,,,5.8,,1019.5,530
2015-01-19,19.3,13.9,23.9,0,,,9,,1020.3,515
2015-01-20,20.9,18.3,23.3,0,,,7.9,,1017.5,58
2015-01-21,23.1,19.4,27.8,0,,,9.4,,1017,381
2015-01-22,23.5,20,27.2,0,,,14,,1020.3,521
2015-01-23,23.5,21.1,26.1,0,,130,18.7,,1018.1,511
2015-01-24,22.7,15,25.6,0,,242,16.2,,1014.5,128
2015-01-25,15.7,11.1,19.4,0,,,9.7,,1017.5,561
2015-01-26,17.4,11.7,25,0.8,,,14.8,,1014.1,515
2015-01-27,16.6,13.3,21.1,0,,288,13,,1016.8,603
2015-01-28,16.2,12.8,20.6,0,,,13,,1020.4,598
2015-01-29,16.7,11.7,22.8,0,,,11.5,,1023.2,522
2015-01-30,19.2,15,24.4,0,,,7.6,,1021.8,549
2015-01-31,19.6,16.1,23.9,0,,,15.1,,1022.6,479
2015-02-01,20.9,17.2,24.4,0,,113,18.4,,1021.6,537
2015-02-02,23,19.4,29.4,0.5,,206,13.7,,1017,392
2015-02-03,19.7,13.9,25,0,,,13.7,,1020.7,576
2015-02-04,21.5,17.8,25,0,,97,14,,1019.4,499
2015-02-05,22.5,17.2,23.3,15.2,,226,15.5,,1014.2,22
2015-02-06,18.7,13.9,23.9,0.3,,,15.8,,1019.9,437
2015-02-07,20.2,17.8,22.8,0,,62,17.3,,1022.3,564
2015-02-08,20.8,16.1,25.6,0,,,11.2,,1019.1,553
2015-02-09,20.7,17.2,26.1,1,,,10.4,,1012.1,231
2015-02-10,20.5,15,24.4,0,,291,18.4,,,561
2015-02-11,17.2,12.2,22.8,0,,,9.4,,1014.9,620
2015-02-12,19.1,14.4,24.4,0,,,8.6,,1017.8,599
2015-02-13,18.2,12.2,23.9,0,,,10.8,,1019.6,608
2015-02-14,14.2,8.9,19.4,0,,,10.8,,1021.9,622
2015-02-15,15.7,8.9,24.4,0,,,7.6,,1022.1,628
2015-02-16,18.9,13.3,23.9,0,,,10.8,,1020,540
2015-02-17,22.3,17.8,28.3,0,,,13.7,,1014.5,579
2015-02-18,19.7,11.1,22.8,17,,,12.2,,1016.8,331
2015-02-19,12.9,8.3,15.6,0,,319,17.6,,1024.1,640
2015-02-20,11.3,5.6,18.9,0,,,16.9,,1026.2,586
2015-02-21,19.4,16.7,24.4,0,,97,23,,1024.3,451
2015-02-22,23,20,27.2,1,,,14.4,,1022,450
2015-02-23,23.9,20.6,28.3,0,,,9,,1020.9,423
